'FFT Bands',Delta,Delta,Delta,Delta,Delta,Delta,Delta,Delta,Theta,Theta,Theta,Theta,Theta,Theta,Theta,Theta,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Beta,Beta,Beta,Beta,Beta,Beta,Beta,Beta,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,'Event'
'[11:23:54.582 26/09/2023]',0.07,0.00,0.08,0.08,0.07,0.08,0.11,0.81,0.12,0.00,0.12,0.13,0.12,0.10,0.15,3.05,0.51,0.00,0.41,0.60,0.32,0.33,0.53,6.94,1.20,0.00,1.23,1.24,1.13,1.15,1.71,9.96,2.05,0.00,2.05,1.99,2.01,1.95,1.81,12.08,0
'[11:23:54.702 26/09/2023]',0.07,0.00,0.08,0.08,0.07,0.07,0.11,0.78,0.12,0.00,0.13,0.13,0.11,0.10,0.14,3.00,0.52,0.00,0.42,0.60,0.32,0.33,0.54,7.13,1.19,0.00,1.25,1.28,1.11,1.19,1.60,9.91,2.09,0.00,2.09,2.03,2.05,1.98,1.85,12.29,0
'[11:23:54.804 26/09/2023]',0.06,0.00,0.08,0.07,0.06,0.07,0.11,0.82,0.12,0.00,0.13,0.12,0.11,0.10,0.14,3.01,0.53,0.00,0.42,0.61,0.31,0.33,0.54,7.38,1.17,0.00,1.28,1.31,1.09,1.22,1.49,9.87,2.12,0.00,2.13,2.06,2.09,2.00,1.89,12.52,0
'[11:23:54.893 26/09/2023]',0.06,0.00,0.08,0.07,0.06,0.07,0.10,0.82,0.12,0.00,0.12,0.13,0.11,0.10,0.13,2.90,0.54,0.00,0.43,0.61,0.32,0.34,0.55,7.59,1.15,0.00,1.30,1.33,1.09,1.24,1.49,9.92,2.15,0.00,2.16,2.10,2.12,2.03,1.92,12.75,0
'[11:23:54.982 26/09/2023]',0.06,0.00,0.08,0.07,0.06,0.07,0.10,0.79,0.12,0.00,0.12,0.13,0.11,0.10,0.13,2.79,0.55,0.00,0.44,0.62,0.32,0.34,0.55,7.77,1.14,0.00,1.32,1.35,1.07,1.26,1.53,9.96,2.18,0.00,2.20,2.13,2.16,2.05,1.96,12.96,0
'[11:23:55.070 26/09/2023]',0.06,0.00,0.08,0.07,0.06,0.07,0.10,0.81,0.12,0.00,0.12,0.14,0.11,0.11,0.13,2.71,0.54,0.00,0.44,0.62,0.31,0.34,0.54,7.96,1.12,0.00,1.34,1.37,1.06,1.27,1.58,9.91,2.21,0.00,2.23,2.17,2.20,2.08,1.99,13.18,0
'[11:23:55.155 26/09/2023]',0.06,0.00,0.08,0.07,0.06,0.07,0.10,0.84,0.14,0.00,0.13,0.14,0.12,0.11,0.14,2.76,0.55,0.00,0.44,0.61,0.30,0.34,0.53,8.00,1.13,0.00,1.36,1.38,1.05,1.28,1.61,9.66,2.24,0.00,2.26,2.20,2.23,2.10,2.01,13.36,0
'[11:23:55.253 26/09/2023]',0.06,0.00,0.08,0.07,0.06,0.07,0.10,0.82,0.14,0.00,0.13,0.16,0.12,0.11,0.14,2.70,0.52,0.00,0.43,0.60,0.30,0.35,0.51,7.98,1.14,0.00,1.37,1.38,1.03,1.27,1.64,9.41,2.26,0.00,2.28,2.22,2.25,2.12,2.03,13.53,0
'[11:23:55.339 26/09/2023]',0.06,0.00,0.08,0.08,0.06,0.07,0.10,0.83,0.15,0.00,0.13,0.16,0.12,0.11,0.14,2.61,0.51,0.00,0.43,0.58,0.30,0.35,0.49,7.90,1.14,0.00,1.35,1.37,0.99,1.24,1.67,9.12,2.28,0.00,2.30,2.25,2.27,2.14,2.04,13.67,0
'[11:23:55.427 26/09/2023]',0.07,0.00,0.08,0.07,0.06,0.07,0.10,0.84,0.16,0.00,0.13,0.16,0.12,0.10,0.14,2.53,0.52,0.00,0.44,0.57,0.31,0.35,0.49,7.85,1.14,0.00,1.36,1.35,0.95,1.23,1.69,8.81,2.29,0.00,2.31,2.27,2.29,2.16,2.06,13.76,0
'[11:23:55.519 26/09/2023]',0.07,0.00,0.08,0.08,0.06,0.07,0.10,0.84,0.15,0.00,0.12,0.16,0.12,0.10,0.14,2.46,0.51,0.00,0.43,0.56,0.31,0.35,0.48,7.78,1.15,0.00,1.37,1.33,0.96,1.23,1.71,8.66,2.31,0.00,2.32,2.29,2.31,2.17,2.07,13.88,0
'[11:23:55.614 26/09/2023]',0.08,0.00,0.08,0.08,0.06,0.07,0.10,0.85,0.15,0.00,0.13,0.17,0.12,0.10,0.15,2.35,0.50,0.00,0.43,0.56,0.31,0.36,0.48,7.79,1.15,0.00,1.39,1.31,1.00,1.25,1.72,8.54,2.33,0.00,2.33,2.31,2.32,2.18,2.08,14.00,0
'[11:23:55.703 26/09/2023]',0.08,0.00,0.08,0.09,0.06,0.08,0.10,0.84,0.16,0.00,0.13,0.18,0.13,0.11,0.14,2.32,0.47,0.00,0.43,0.54,0.31,0.36,0.45,7.76,1.14,0.00,1.39,1.30,1.03,1.27,1.70,8.43,2.35,0.00,2.33,2.32,2.33,2.20,2.08,14.09,0
'[11:23:55.729 26/09/2023]',0.08,0.00,0.08,0.09,0.06,0.07,0.10,0.87,0.17,0.00,0.13,0.19,0.13,0.11,0.14,2.27,0.44,0.00,0.45,0.50,0.30,0.35,0.42,7.68,1.10,0.00,1.39,1.27,1.06,1.26,1.67,8.43,2.36,0.00,2.34,2.33,2.34,2.21,2.09,14.19,0
'[11:23:55.750 26/09/2023]',0.08,0.00,0.08,0.09,0.06,0.07,0.10,0.84,0.17,0.00,0.14,0.18,0.12,0.11,0.16,2.27,0.43,0.00,0.46,0.49,0.31,0.32,0.42,7.54,1.09,0.00,1.39,1.22,1.05,1.26,1.62,8.44,2.37,0.00,2.35,2.35,2.36,2.23,2.10,14.28,0
'[11:23:55.772 26/09/2023]',0.08,0.00,0.08,0.09,0.06,0.08,0.10,0.81,0.17,0.00,0.13,0.18,0.12,0.11,0.16,2.29,0.41,0.00,0.48,0.48,0.32,0.32,0.41,7.42,1.09,0.00,1.39,1.16,1.04,1.23,1.56,8.61,2.38,0.00,2.36,2.36,2.37,2.24,2.11,14.39,0
'[11:23:55.803 26/09/2023]',0.08,0.00,0.08,0.09,0.06,0.07,0.10,0.82,0.18,0.00,0.14,0.18,0.12,0.11,0.17,2.31,0.39,0.00,0.47,0.47,0.32,0.31,0.40,7.24,1.08,0.00,1.36,1.09,1.03,1.21,1.50,8.67,2.36,0.00,2.33,2.38,2.39,2.26,2.09,14.45,0
'[11:23:55.828 26/09/2023]',0.08,0.00,0.09,0.09,0.06,0.07,0.10,0.88,0.17,0.00,0.14,0.19,0.12,0.11,0.16,2.38,0.37,0.00,0.48,0.45,0.32,0.31,0.39,7.15,1.06,0.00,1.34,1.03,1.03,1.18,1.45,8.80,2.29,0.00,2.27,2.35,2.36,2.24,2.02,14.39,0
'[11:23:55.856 26/09/2023]',0.08,0.00,0.09,0.10,0.06,0.07,0.10,0.83,0.17,0.00,0.14,0.18,0.12,0.10,0.15,2.32,0.34,0.00,0.47,0.42,0.33,0.32,0.38,7.00,1.05,0.00,1.31,0.98,1.03,1.17,1.40,8.91,2.20,0.00,2.18,2.29,2.30,2.19,1.93,14.02,0
'[11:23:55.884 26/09/2023]',0.08,0.00,0.09,0.10,0.07,0.07,0.09,0.79,0.17,0.00,0.14,0.18,0.13,0.10,0.15,2.29,0.32,0.00,0.48,0.39,0.32,0.32,0.37,6.84,1.05,0.00,1.27,0.94,1.03,1.16,1.36,9.05,2.09,0.00,2.07,2.20,2.21,2.11,1.84,13.52,0
'[11:23:55.909 26/09/2023]',0.08,0.00,0.09,0.10,0.06,0.07,0.09,0.81,0.18,0.00,0.14,0.19,0.13,0.10,0.16,2.37,0.34,0.00,0.49,0.38,0.33,0.33,0.37,6.76,1.04,0.00,1.22,0.90,1.02,1.16,1.34,8.97,2.00,0.00,1.97,2.10,2.11,2.02,1.74,12.95,0
'[11:23:55.941 26/09/2023]',0.08,0.00,0.08,0.09,0.06,0.07,0.09,0.82,0.18,0.00,0.13,0.20,0.13,0.10,0.15,2.35,0.34,0.00,0.48,0.36,0.33,0.33,0.37,6.56,1.01,0.00,1.18,0.90,1.00,1.16,1.33,8.86,1.91,0.00,1.88,2.01,2.01,1.93,1.66,12.38,0
'[11:23:55.963 26/09/2023]',0.08,0.00,0.09,0.09,0.06,0.07,0.08,0.86,0.19,0.00,0.13,0.20,0.12,0.10,0.15,2.24,0.35,0.00,0.48,0.34,0.32,0.33,0.38,6.27,0.98,0.00,1.16,0.94,0.98,1.17,1.32,8.65,1.83,0.00,1.79,1.91,1.91,1.84,1.58,11.83,0
'[11:23:55.988 26/09/2023]',0.08,0.00,0.09,0.09,0.06,0.07,0.08,0.85,0.18,0.00,0.13,0.21,0.12,0.10,0.14,2.19,0.36,0.00,0.48,0.32,0.33,0.33,0.38,5.97,0.97,0.00,1.16,0.97,0.96,1.17,1.32,8.52,1.75,0.00,1.71,1.84,1.83,1.76,1.51,11.34,0
'[11:23:56.019 26/09/2023]',0.08,0.00,0.09,0.09,0.06,0.07,0.08,0.87,0.19,0.00,0.12,0.20,0.11,0.10,0.14,2.08,0.36,0.00,0.48,0.31,0.33,0.33,0.39,5.79,0.96,0.00,1.17,1.02,0.93,1.18,1.32,8.56,1.68,0.00,1.63,1.75,1.75,1.68,1.44,10.85,0
'[11:23:56.044 26/09/2023]',0.08,0.00,0.09,0.09,0.06,0.07,0.08,0.87,0.19,0.00,0.13,0.21,0.11,0.10,0.15,2.00,0.36,0.00,0.48,0.31,0.32,0.33,0.39,5.66,0.98,0.00,1.17,1.07,0.93,1.19,1.39,8.57,1.63,0.00,1.57,1.68,1.67,1.61,1.40,10.37,0
'[11:23:56.072 26/09/2023]',0.08,0.00,0.09,0.09,0.07,0.08,0.09,0.90,0.19,0.00,0.13,0.22,0.12,0.11,0.15,1.92,0.37,0.00,0.49,0.31,0.33,0.33,0.39,5.47,1.02,0.00,1.17,1.11,0.92,1.19,1.47,8.57,1.62,0.00,1.56,1.62,1.62,1.55,1.41,9.96,0
'[11:23:56.100 26/09/2023]',0.08,0.00,0.09,0.09,0.07,0.07,0.09,0.92,0.19,0.00,0.14,0.22,0.12,0.11,0.14,1.82,0.38,0.00,0.50,0.31,0.33,0.35,0.40,5.27,1.03,0.00,1.17,1.14,0.92,1.16,1.51,8.51,1.64,0.00,1.58,1.60,1.61,1.54,1.45,9.79,0
'[11:23:56.126 26/09/2023]',0.08,0.00,0.08,0.09,0.07,0.07,0.09,0.92,0.20,0.00,0.14,0.22,0.12,0.10,0.14,1.73,0.40,0.00,0.51,0.33,0.34,0.36,0.41,4.97,1.05,0.00,1.15,1.17,0.96,1.15,1.54,8.32,1.68,0.00,1.62,1.62,1.63,1.56,1.49,9.84,0
'[11:23:56.153 26/09/2023]',0.08,0.00,0.08,0.09,0.07,0.07,0.09,0.89,0.20,0.00,0.14,0.22,0.13,0.10,0.15,1.60,0.40,0.00,0.51,0.34,0.36,0.38,0.41,4.75,1.09,0.00,1.14,1.22,0.99,1.13,1.58,8.16,1.72,0.00,1.65,1.64,1.67,1.59,1.54,9.96,0
'[11:23:56.180 26/09/2023]',0.08,0.00,0.08,0.09,0.07,0.07,0.09,0.87,0.20,0.00,0.14,0.23,0.13,0.10,0.15,1.54,0.41,0.00,0.51,0.34,0.37,0.39,0.41,4.59,1.12,0.00,1.12,1.26,1.01,1.12,1.61,8.20,1.75,0.00,1.69,1.67,1.70,1.62,1.58,10.10,0
'[11:23:56.209 26/09/2023]',0.08,0.00,0.08,0.09,0.07,0.07,0.09,0.83,0.19,0.00,0.14,0.23,0.12,0.10,0.14,1.49,0.42,0.00,0.51,0.34,0.37,0.39,0.41,4.41,1.16,0.00,1.12,1.31,1.02,1.16,1.64,8.14,1.77,0.00,1.72,1.69,1.74,1.65,1.60,10.21,0
'[11:23:56.233 26/09/2023]',0.08,0.00,0.08,0.09,0.07,0.07,0.09,0.80,0.19,0.00,0.13,0.22,0.12,0.09,0.14,1.54,0.41,0.00,0.50,0.33,0.36,0.39,0.40,4.25,1.24,0.00,1.10,1.35,1.03,1.20,1.66,8.10,1.80,0.00,1.74,1.71,1.77,1.67,1.63,10.32,0
'[11:23:56.261 26/09/2023]',0.08,0.00,0.08,0.08,0.07,0.07,0.08,0.75,0.19,0.00,0.13,0.22,0.12,0.10,0.14,1.54,0.41,0.00,0.48,0.32,0.36,0.40,0.40,4.05,1.31,0.00,1.07,1.38,1.04,1.23,1.69,8.03,1.83,0.00,1.77,1.73,1.79,1.70,1.66,10.42,0
'[11:23:56.314 26/09/2023]',0.08,0.00,0.07,0.08,0.07,0.07,0.08,0.78,0.18,0.00,0.13,0.22,0.12,0.09,0.14,1.62,0.41,0.00,0.48,0.32,0.35,0.39,0.40,3.92,1.37,0.00,1.06,1.40,1.05,1.24,1.71,8.01,1.86,0.00,1.79,1.75,1.82,1.73,1.70,10.54,0
'[11:23:56.333 26/09/2023]',0.08,0.00,0.07,0.08,0.07,0.07,0.09,0.76,0.18,0.00,0.13,0.21,0.12,0.09,0.13,1.65,0.43,0.00,0.48,0.32,0.35,0.39,0.42,3.81,1.41,0.00,1.07,1.40,1.07,1.24,1.71,8.07,1.90,0.00,1.83,1.78,1.85,1.76,1.75,10.71,0
'[11:23:56.360 26/09/2023]',0.08,0.00,0.07,0.09,0.07,0.07,0.09,0.75,0.18,0.00,0.12,0.20,0.12,0.10,0.14,1.66,0.43,0.00,0.47,0.34,0.36,0.40,0.41,3.74,1.44,0.00,1.06,1.40,1.07,1.23,1.69,8.10,1.94,0.00,1.88,1.81,1.90,1.80,1.81,10.94,0
'[11:23:56.386 26/09/2023]',0.08,0.00,0.08,0.08,0.07,0.07,0.08,0.76,0.17,0.00,0.12,0.20,0.12,0.09,0.13,1.69,0.43,0.00,0.46,0.34,0.35,0.39,0.41,3.74,1.46,0.00,1.06,1.38,1.07,1.20,1.65,8.08,1.99,0.00,1.93,1.85,1.95,1.85,1.86,11.22,0
'[11:23:56.412 26/09/2023]',0.07,0.00,0.07,0.08,0.07,0.07,0.09,0.79,0.16,0.00,0.12,0.19,0.12,0.09,0.13,1.71,0.43,0.00,0.45,0.33,0.35,0.39,0.40,3.72,1.48,0.00,1.06,1.36,1.07,1.17,1.59,8.08,2.04,0.00,1.98,1.90,2.01,1.90,1.92,11.54,0
'[11:23:56.439 26/09/2023]',0.07,0.00,0.07,0.08,0.07,0.07,0.09,0.81,0.16,0.00,0.12,0.19,0.12,0.09,0.13,1.70,0.42,0.00,0.43,0.34,0.34,0.38,0.40,3.74,1.51,0.00,1.05,1.34,1.07,1.15,1.53,8.00,2.10,0.00,2.03,1.96,2.07,1.96,1.98,11.90,0
'[11:23:56.465 26/09/2023]',0.07,0.00,0.07,0.08,0.07,0.07,0.09,0.81,0.15,0.00,0.13,0.18,0.12,0.08,0.14,1.72,0.41,0.00,0.42,0.34,0.33,0.38,0.40,3.71,1.53,0.00,1.05,1.32,1.07,1.14,1.47,7.95,2.16,0.00,2.08,2.02,2.13,2.01,2.02,12.27,0
'[11:23:56.494 26/09/2023]',0.07,0.00,0.07,0.08,0.07,0.07,0.10,0.80,0.14,0.00,0.13,0.17,0.12,0.08,0.14,1.77,0.40,0.00,0.40,0.35,0.32,0.37,0.39,3.68,1.56,0.00,1.05,1.29,1.07,1.20,1.46,7.86,2.22,0.00,2.13,2.08,2.19,2.08,2.07,12.65,0
'[11:23:56.521 26/09/2023]',0.07,0.00,0.07,0.08,0.07,0.07,0.09,0.79,0.13,0.00,0.14,0.17,0.13,0.08,0.13,1.81,0.38,0.00,0.38,0.34,0.30,0.36,0.39,3.63,1.58,0.00,1.05,1.24,1.07,1.25,1.49,7.80,2.28,0.00,2.18,2.13,2.25,2.14,2.12,13.02,0
'[11:23:56.581 26/09/2023]',0.07,0.00,0.07,0.08,0.07,0.07,0.09,0.77,0.13,0.00,0.13,0.15,0.12,0.08,0.13,1.84,0.37,0.00,0.36,0.34,0.31,0.37,0.39,3.54,1.60,0.00,1.03,1.19,1.06,1.30,1.50,7.99,2.33,0.00,2.21,2.19,2.30,2.19,2.16,13.36,0
'[11:23:56.687 26/09/2023]',0.07,0.00,0.08,0.08,0.07,0.06,0.09,0.75,0.13,0.00,0.13,0.15,0.12,0.08,0.12,1.86,0.36,0.00,0.35,0.33,0.32,0.38,0.40,3.42,1.60,0.00,1.01,1.15,1.06,1.32,1.52,8.17,2.37,0.00,2.25,2.23,2.35,2.24,2.19,13.66,0
'[11:23:56.779 26/09/2023]',0.07,0.00,0.07,0.08,0.07,0.07,0.09,0.74,0.12,0.00,0.13,0.14,0.12,0.08,0.12,1.94,0.35,0.00,0.34,0.33,0.33,0.40,0.40,3.27,1.59,0.00,1.00,1.12,1.05,1.34,1.53,8.30,2.41,0.00,2.28,2.27,2.39,2.28,2.22,13.93,0
'[11:23:56.863 26/09/2023]',0.07,0.00,0.07,0.08,0.07,0.07,0.09,0.71,0.12,0.00,0.13,0.14,0.12,0.07,0.11,1.98,0.34,0.00,0.33,0.33,0.35,0.41,0.41,3.17,1.59,0.00,1.02,1.09,1.05,1.35,1.52,8.37,2.44,0.00,2.30,2.31,2.42,2.32,2.24,14.19,0
'[11:23:56.954 26/09/2023]',0.07,0.00,0.07,0.08,0.07,0.07,0.09,0.75,0.12,0.00,0.13,0.15,0.11,0.08,0.12,2.04,0.33,0.00,0.36,0.33,0.36,0.42,0.41,3.05,1.58,0.00,1.05,1.06,1.05,1.36,1.51,8.45,2.47,0.00,2.33,2.34,2.45,2.36,2.25,14.43,0
'[11:23:57.044 26/09/2023]',0.07,0.00,0.08,0.08,0.07,0.07,0.09,0.78,0.12,0.00,0.14,0.16,0.12,0.08,0.12,1.94,0.34,0.00,0.38,0.34,0.37,0.43,0.42,2.92,1.58,0.00,1.08,1.03,1.04,1.36,1.50,8.44,2.49,0.00,2.35,2.37,2.48,2.39,2.27,14.61,0
'[11:23:57.129 26/09/2023]',0.07,0.00,0.07,0.08,0.07,0.07,0.08,0.79,0.11,0.00,0.13,0.15,0.12,0.08,0.12,1.99,0.34,0.00,0.40,0.35,0.39,0.46,0.43,2.84,1.58,0.00,1.12,1.01,1.04,1.37,1.50,8.46,2.51,0.00,2.36,2.40,2.50,2.42,2.28,14.82,0
'[11:23:57.214 26/09/2023]',0.07,0.00,0.08,0.07,0.07,0.07,0.09,0.76,0.11,0.00,0.14,0.16,0.12,0.08,0.13,2.03,0.34,0.00,0.42,0.36,0.41,0.47,0.44,2.80,1.57,0.00,1.15,1.02,1.04,1.37,1.55,8.56,2.52,0.00,2.38,2.42,2.52,2.45,2.29,15.03,0
'[11:23:57.296 26/09/2023]',0.06,0.00,0.08,0.08,0.07,0.07,0.09,0.76,0.11,0.00,0.14,0.16,0.12,0.09,0.12,2.08,0.34,0.00,0.42,0.37,0.43,0.48,0.44,2.69,1.55,0.00,1.18,1.04,1.05,1.38,1.63,8.75,2.54,0.00,2.39,2.43,2.54,2.47,2.31,15.20,0
'[11:23:57.383 26/09/2023]',0.07,0.00,0.08,0.07,0.07,0.07,0.09,0.74,0.11,0.00,0.14,0.15,0.12,0.09,0.12,2.10,0.34,0.00,0.43,0.37,0.43,0.48,0.45,2.59,1.53,0.00,1.21,1.05,1.06,1.39,1.70,8.89,2.55,0.00,2.41,2.45,2.55,2.49,2.32,15.37,0
'[11:23:57.467 26/09/2023]',0.09,0.00,0.10,0.07,0.07,0.07,0.11,0.75,0.14,0.00,0.15,0.15,0.12,0.09,0.14,2.04,0.36,0.00,0.45,0.38,0.44,0.50,0.47,2.59,1.48,0.00,1.21,1.06,1.07,1.39,1.73,8.94,2.54,0.00,2.39,2.47,2.57,2.51,2.30,15.56,0
'[11:23:57.569 26/09/2023]',0.09,0.00,0.10,0.09,0.10,0.10,0.11,0.88,0.14,0.00,0.15,0.17,0.14,0.10,0.14,1.99,0.35,0.00,0.45,0.37,0.46,0.51,0.47,2.54,1.42,0.00,1.21,1.05,1.04,1.36,1.75,8.91,2.46,0.00,2.32,2.45,2.55,2.50,2.24,15.52,0
'[11:23:57.635 26/09/2023]',0.10,0.00,0.10,0.09,0.10,0.10,0.11,0.86,0.15,0.00,0.14,0.18,0.15,0.11,0.15,1.94,0.35,0.00,0.45,0.37,0.45,0.49,0.47,2.62,1.34,0.00,1.19,1.04,1.00,1.33,1.74,8.80,2.37,0.00,2.23,2.38,2.47,2.43,2.15,15.22,0
'[11:23:57.657 26/09/2023]',0.09,0.00,0.10,0.09,0.10,0.10,0.11,0.85,0.16,0.00,0.14,0.18,0.16,0.11,0.14,1.89,0.34,0.00,0.45,0.37,0.46,0.49,0.47,2.71,1.26,0.00,1.19,1.03,0.96,1.32,1.74,8.72,2.26,0.00,2.12,2.29,2.38,2.35,2.06,14.74,0
'[11:23:57.678 26/09/2023]',0.09,0.00,0.09,0.09,0.10,0.09,0.11,0.85,0.16,0.00,0.14,0.18,0.16,0.12,0.14,1.84,0.34,0.00,0.43,0.37,0.45,0.48,0.47,2.72,1.19,0.00,1.18,1.02,0.93,1.30,1.73,8.76,2.16,0.00,2.02,2.19,2.27,2.25,1.97,14.18,0
'[11:23:57.712 26/09/2023]',0.09,0.00,0.09,0.09,0.10,0.09,0.10,0.85,0.16,0.00,0.14,0.18,0.16,0.12,0.14,1.78,0.35,0.00,0.42,0.38,0.44,0.46,0.46,2.76,1.13,0.00,1.16,1.00,0.90,1.27,1.72,8.87,2.06,0.00,1.93,2.09,2.17,2.15,1.89,13.65,0
'[11:23:57.738 26/09/2023]',0.09,0.00,0.09,0.09,0.10,0.09,0.10,0.82,0.16,0.00,0.14,0.19,0.16,0.12,0.14,1.76,0.36,0.00,0.41,0.39,0.43,0.45,0.45,2.82,1.07,0.00,1.13,0.96,0.86,1.24,1.70,9.05,1.97,0.00,1.85,1.99,2.07,2.05,1.81,13.12,0
'[11:23:57.763 26/09/2023]',0.09,0.00,0.09,0.09,0.10,0.09,0.09,0.84,0.17,0.00,0.14,0.19,0.16,0.12,0.14,1.68,0.37,0.00,0.40,0.40,0.42,0.44,0.45,2.80,1.00,0.00,1.16,0.93,0.83,1.22,1.69,9.28,1.88,0.00,1.78,1.91,1.99,1.96,1.74,12.62,0
'[11:23:57.796 26/09/2023]',0.08,0.00,0.09,0.08,0.10,0.09,0.09,0.79,0.17,0.00,0.14,0.19,0.17,0.13,0.15,1.69,0.39,0.00,0.38,0.41,0.41,0.43,0.44,2.87,0.96,0.00,1.19,0.89,0.83,1.20,1.69,9.45,1.81,0.00,1.71,1.83,1.90,1.87,1.67,12.14,0
'[11:23:57.821 26/09/2023]',0.09,0.00,0.09,0.08,0.10,0.09,0.09,0.80,0.18,0.00,0.15,0.20,0.17,0.13,0.15,1.66,0.40,0.00,0.37,0.43,0.40,0.40,0.43,2.93,0.96,0.00,1.21,0.86,0.83,1.20,1.67,9.46,1.74,0.00,1.66,1.76,1.82,1.80,1.61,11.65,0
'[11:23:57.851 26/09/2023]',0.08,0.00,0.09,0.08,0.10,0.09,0.09,0.78,0.18,0.00,0.15,0.21,0.18,0.14,0.16,1.70,0.42,0.00,0.36,0.44,0.39,0.38,0.42,2.90,0.98,0.00,1.24,0.84,0.84,1.21,1.64,9.41,1.67,0.00,1.61,1.70,1.75,1.73,1.55,11.23,0
'[11:23:57.879 26/09/2023]',0.08,0.00,0.09,0.08,0.10,0.09,0.09,0.73,0.18,0.00,0.15,0.21,0.18,0.13,0.16,1.69,0.44,0.00,0.35,0.46,0.39,0.37,0.42,2.97,0.99,0.00,1.26,0.84,0.87,1.20,1.59,9.22,1.60,0.00,1.56,1.63,1.68,1.65,1.50,10.76,0
'[11:23:57.906 26/09/2023]',0.08,0.00,0.09,0.07,0.09,0.08,0.09,0.70,0.19,0.00,0.15,0.21,0.18,0.13,0.16,1.67,0.44,0.00,0.36,0.47,0.38,0.35,0.41,3.01,0.99,0.00,1.27,0.83,0.93,1.19,1.54,9.00,1.53,0.00,1.50,1.57,1.61,1.58,1.43,10.28,0
'[11:23:57.932 26/09/2023]',0.08,0.00,0.08,0.07,0.09,0.08,0.08,0.67,0.18,0.00,0.16,0.21,0.18,0.14,0.16,1.69,0.45,0.00,0.35,0.48,0.39,0.34,0.40,3.06,0.98,0.00,1.28,0.82,0.98,1.20,1.54,8.80,1.47,0.00,1.44,1.51,1.54,1.51,1.37,9.74,0
'[11:23:57.961 26/09/2023]',0.08,0.00,0.08,0.07,0.09,0.08,0.09,0.66,0.19,0.00,0.16,0.20,0.18,0.14,0.16,1.71,0.47,0.00,0.35,0.48,0.39,0.33,0.40,3.11,0.99,0.00,1.29,0.83,1.03,1.23,1.55,8.65,1.39,0.00,1.37,1.44,1.47,1.43,1.30,9.19,0
'[11:23:57.983 26/09/2023]',0.07,0.00,0.08,0.07,0.09,0.08,0.08,0.66,0.18,0.00,0.17,0.20,0.18,0.14,0.16,1.70,0.48,0.00,0.35,0.49,0.40,0.33,0.40,3.20,1.00,0.00,1.29,0.86,1.08,1.24,1.55,8.46,1.32,0.00,1.29,1.37,1.39,1.35,1.23,8.62,0
'[11:23:58.011 26/09/2023]',0.08,0.00,0.09,0.06,0.09,0.07,0.08,0.68,0.19,0.00,0.17,0.20,0.18,0.14,0.15,1.73,0.50,0.00,0.37,0.50,0.40,0.32,0.41,3.27,1.01,0.00,1.30,0.89,1.12,1.24,1.56,8.31,1.26,0.00,1.22,1.30,1.31,1.28,1.19,8.05,0
'[11:23:58.046 26/09/2023]',0.08,0.00,0.08,0.07,0.08,0.07,0.08,0.72,0.19,0.00,0.17,0.20,0.19,0.15,0.16,1.76,0.51,0.00,0.38,0.52,0.40,0.32,0.40,3.41,1.00,0.00,1.31,0.93,1.17,1.23,1.58,8.05,1.21,0.00,1.17,1.23,1.24,1.21,1.22,7.52,0
'[11:23:58.067 26/09/2023]',0.08,0.00,0.09,0.07,0.09,0.08,0.08,0.75,0.19,0.00,0.18,0.20,0.19,0.15,0.17,1.81,0.52,0.00,0.40,0.53,0.40,0.32,0.40,3.53,1.06,0.00,1.31,0.96,1.20,1.21,1.62,7.99,1.16,0.00,1.12,1.18,1.18,1.16,1.25,7.12,0
'[11:23:58.093 26/09/2023]',0.08,0.00,0.09,0.07,0.09,0.07,0.08,0.77,0.19,0.00,0.18,0.20,0.19,0.15,0.17,1.78,0.54,0.00,0.41,0.54,0.41,0.34,0.40,3.73,1.12,0.00,1.32,0.99,1.22,1.18,1.64,7.96,1.11,0.00,1.07,1.13,1.13,1.11,1.30,6.80,0
'[11:23:58.124 26/09/2023]',0.07,0.00,0.08,0.07,0.09,0.07,0.08,0.80,0.20,0.00,0.18,0.20,0.20,0.16,0.18,1.79,0.55,0.00,0.42,0.56,0.42,0.35,0.41,3.94,1.17,0.00,1.34,1.00,1.22,1.17,1.65,7.89,1.06,0.00,1.03,1.09,1.09,1.07,1.33,6.52,0
'[11:23:58.149 26/09/2023]',0.08,0.00,0.09,0.07,0.09,0.07,0.07,0.75,0.20,0.00,0.18,0.20,0.21,0.17,0.17,1.86,0.55,0.00,0.42,0.57,0.43,0.37,0.41,4.15,1.22,0.00,1.34,1.01,1.23,1.16,1.67,7.85,1.02,0.00,1.02,1.04,1.04,1.03,1.35,6.27,0
'[11:23:58.177 26/09/2023]',0.08,0.00,0.09,0.07,0.09,0.08,0.07,0.81,0.19,0.00,0.17,0.20,0.21,0.17,0.18,1.85,0.55,0.00,0.41,0.57,0.45,0.37,0.41,4.28,1.27,0.00,1.32,1.03,1.25,1.14,1.69,7.89,1.05,0.00,1.00,1.00,1.00,1.00,1.37,6.05,0
